"Time","Average Response Rate","edge-server-cv-74d975f7cd-bbbwx Response","edge-server-cv-74d975f7cd-gw56j Response","edge-server-cv-74d975f7cd-z798l Response"
2022-04-19 16:29:36,280 ms,287 ms,246 ms,309 ms
2022-04-19 16:29:38,262 ms,264 ms,246 ms,275 ms
2022-04-19 16:29:40,272 ms,264 ms,277 ms,275 ms
2022-04-19 16:29:42,335 ms,378 ms,345 ms,281 ms
2022-04-19 16:29:44,374 ms,445 ms,345 ms,331 ms
2022-04-19 16:29:46,336 ms,398 ms,306 ms,302 ms
2022-04-19 16:29:48,352 ms,430 ms,299 ms,328 ms
2022-04-19 16:29:50,360 ms,428 ms,324 ms,328 ms
2022-04-19 16:29:52,262 ms,228 ms,251 ms,308 ms
2022-04-19 16:29:54,312 ms,268 ms,251 ms,417 ms
2022-04-19 16:29:56,298 ms,268 ms,281 ms,346 ms
2022-04-19 16:29:58,320 ms,297 ms,324 ms,339 ms
2022-04-19 16:30:00,326 ms,294 ms,346 ms,339 ms
2022-04-19 16:30:02,285 ms,298 ms,311 ms,247 ms
2022-04-19 16:30:04,289 ms,298 ms,320 ms,247 ms
2022-04-19 16:30:06,268 ms,271 ms,268 ms,265 ms
2022-04-19 16:30:08,290 ms,285 ms,305 ms,281 ms
2022-04-19 16:30:10,,,348 ms,275 ms
2022-04-19 16:30:12,517 ms,926 ms,348 ms,277 ms

